customerid,billmonth,month,monthlycharge,totalamount,payment,paymentdate
6132,2026-05-01,5,24.93,26.68,26.68,2026-05-05
6133,2026-05-01,5,44.04,47.12,47.12,2026-05-05
6134,2026-05-01,5,61.02,65.29,65.29,2026-05-05
6135,2026-05-01,5,62.07,66.41,66.41,2026-05-05
6136,2026-05-01,5,27.11,29.01,29.01,2026-05-09
6137,2026-05-01,5,52.59,56.27,56.27,2026-05-07
6138,2026-05-01,5,35.0,37.45,37.45,2026-05-05
6139,2026-05-01,5,79.93,85.53,85.53,2026-05-05
6140,2026-05-01,5,100.83,107.89,107.89,2026-05-07
6141,2026-05-01,5,38.57,41.27,41.27,2026-05-06
6142,2026-05-01,5,40.26,43.08,43.08,2026-05-05
6143,2026-05-01,5,114.17,122.16,122.16,2026-05-07
6144,2026-05-01,5,41.98,44.92,44.92,2026-05-05
6145,2026-05-01,5,36.96,39.55,39.55,2026-05-06
6146,2026-05-01,5,32.46,34.73,34.73,2026-05-07
6147,2026-05-01,5,83.1,88.92,88.92,2026-05-06
6148,2026-05-01,5,136.3,145.84,145.84,2026-05-20
6149,2026-05-01,5,135.29,144.76,144.76,2026-05-05
6150,2026-05-01,5,76.0,81.32,81.32,2026-05-07
6151,2026-05-01,5,143.83,153.9,153.9,2026-05-05
6152,2026-05-01,5,39.02,41.75,41.75,2026-05-08
6153,2026-05-01,5,75.07,80.32,80.32,2026-05-05
6154,2026-05-01,5,23.69,25.35,25.35,2026-05-08
6155,2026-05-01,5,41.08,43.96,43.96,2026-05-10
6156,2026-05-01,5,39.77,42.55,42.55,2026-05-05
6157,2026-05-01,5,51.03,54.6,54.6,2026-05-05
6158,2026-05-01,5,23.55,25.2,25.2,2026-05-05
6159,2026-05-01,5,43.97,47.05,47.05,2026-05-05
6160,2026-05-01,5,27.34,29.25,29.25,2026-05-10
6161,2026-05-01,5,67.81,72.56,72.56,2026-06-05
6162,2026-05-01,5,82.86,88.66,88.66,2026-05-05
6163,2026-05-01,5,78.65,84.16,84.16,2026-05-07
6164,2026-05-01,5,53.82,57.59,57.59,2026-05-05
6165,2026-05-01,5,82.38,88.15,88.15,2026-05-12
6166,2026-05-01,5,101.91,109.04,109.04,2026-05-14
6167,2026-05-01,5,76.54,81.9,81.9,2026-05-07
6168,2026-05-01,5,25.18,26.94,26.94,2026-05-06
6169,2026-05-01,5,60.86,65.12,65.12,2026-05-05
6170,2026-05-01,5,44.87,48.01,48.01,2026-05-07
6171,2026-05-01,5,41.29,44.18,44.18,2026-05-06
6172,2026-05-01,5,108.56,116.16,116.16,2026-05-07
6173,2026-05-01,5,41.74,44.66,44.66,2026-05-05
6174,2026-05-01,5,74.52,79.74,79.74,2026-05-05
6175,2026-05-01,5,104.39,111.7,111.7,2026-05-07
6176,2026-05-01,5,63.58,68.03,68.03,2026-05-05
6177,2026-05-01,5,41.94,44.88,44.88,2026-05-11
6178,2026-05-01,5,67.89,72.64,72.64,2026-05-05
6179,2026-05-01,5,76.01,81.33,81.33,2026-05-07
6180,2026-05-01,5,21.54,23.05,23.05,2026-05-08
6181,2026-05-01,5,71.74,76.76,76.76,2026-05-07
6182,2026-05-01,5,43.83,46.9,46.9,2026-05-07
6183,2026-05-01,5,144.66,154.79,154.79,2026-05-06
6184,2026-05-01,5,83.52,89.37,89.37,2026-05-08
6185,2026-05-01,5,35.44,37.92,37.92,2026-05-06
6186,2026-05-01,5,138.3,147.98,147.98,2026-05-07
6187,2026-05-01,5,51.79,55.42,55.42,2026-05-05
6188,2026-05-01,5,55.49,59.37,59.37,2026-05-07
6189,2026-05-01,5,35.48,37.96,37.96,2026-05-05
6190,2026-05-01,5,20.54,21.98,21.98,2026-05-08
6191,2026-05-01,5,81.04,86.71,86.71,2026-05-07
6192,2026-05-01,5,93.77,100.33,100.33,2026-05-05
6193,2026-05-01,5,122.51,131.09,131.09,2026-05-08
6194,2026-05-01,5,35.06,37.51,37.51,2026-05-10
6195,2026-05-01,5,42.36,45.33,45.33,2026-05-05
6196,2026-05-01,5,26.92,28.8,28.8,2026-05-07
6197,2026-05-01,5,25.79,27.6,27.6,2026-05-14
6198,2026-05-01,5,74.31,79.51,79.51,2026-05-06
6199,2026-05-01,5,76.52,81.88,81.88,2026-05-06
6200,2026-05-01,5,32.64,34.92,34.92,2026-05-12
6201,2026-05-01,5,81.88,87.61,87.61,2026-05-24
6202,2026-05-01,5,103.42,110.66,110.66,2026-05-05
6203,2026-05-01,5,39.19,41.93,41.93,2026-05-06
6204,2026-05-01,5,104.92,112.26,112.26,2026-05-07
6205,2026-05-01,5,44.18,47.27,47.27,2026-05-05
6206,2026-05-01,5,147.47,157.79,157.79,2026-05-06
6207,2026-05-01,5,122.77,131.36,131.36,2026-05-08
6208,2026-05-01,5,79.69,85.27,85.27,2026-05-09
6209,2026-05-01,5,149.09,159.53,159.53,2026-05-06
6210,2026-05-01,5,22.84,24.44,24.44,2026-05-08
6211,2026-05-01,5,59.83,64.02,64.02,2026-05-09
6212,2026-05-01,5,68.36,73.15,73.15,2026-05-05
6213,2026-05-01,5,68.69,73.5,73.5,2026-05-11
6214,2026-05-01,5,60.53,64.77,64.77,2026-05-06
6215,2026-05-01,5,27.03,28.92,28.92,2026-05-07
6216,2026-05-01,5,138.14,147.81,147.81,2026-05-05
6217,2026-05-01,5,138.47,148.16,148.16,2026-05-05
6218,2026-05-01,5,31.92,34.15,34.15,2026-05-05
6219,2026-05-01,5,80.81,86.47,86.47,2026-05-05
6220,2026-05-01,5,23.24,24.87,24.87,2026-05-12
6221,2026-05-01,5,53.38,57.12,57.12,2026-05-06
6222,2026-05-01,5,35.95,38.47,38.47,2026-05-05
6223,2026-05-01,5,67.94,72.7,72.7,2026-05-15
6224,2026-05-01,5,41.0,43.87,43.87,2026-05-05
6225,2026-05-01,5,33.02,35.33,35.33,2026-05-05
6226,2026-05-01,5,53.59,57.34,57.34,2026-06-05
6227,2026-05-01,5,69.61,74.48,74.48,2026-05-06
6228,2026-05-01,5,53.17,56.89,56.89,2026-05-05
6229,2026-05-01,5,74.59,79.81,79.81,2026-05-05
6230,2026-05-01,5,62.4,66.77,66.77,2026-05-27
6231,2026-05-01,5,57.76,61.8,61.8,2026-05-07
6232,2026-05-01,5,73.07,78.18,78.18,2026-05-05
6233,2026-05-01,5,33.6,35.95,35.95,2026-05-05
6234,2026-05-01,5,83.72,89.58,89.58,2026-05-16
6235,2026-05-01,5,22.32,23.88,23.88,2026-05-06
6236,2026-05-01,5,64.8,69.34,69.34,2026-06-02
6237,2026-05-01,5,73.47,78.61,78.61,2026-05-26
6238,2026-05-01,5,123.1,131.72,131.72,2026-05-07
6239,2026-05-01,5,57.27,61.28,61.28,2026-05-07
6240,2026-05-01,5,132.4,141.67,141.67,2026-05-05
6241,2026-05-01,5,80.64,86.28,86.28,2026-05-07
6242,2026-05-01,5,31.47,33.67,33.67,2026-05-27
6243,2026-05-01,5,59.13,63.27,63.27,2026-05-05
6244,2026-05-01,5,51.28,54.87,54.87,2026-05-06
6245,2026-05-01,5,24.54,26.26,26.26,2026-05-05
6246,2026-05-01,5,55.49,59.37,59.37,2026-05-06
6247,2026-05-01,5,31.13,33.31,33.31,2026-05-06
6248,2026-05-01,5,30.2,32.31,32.31,2026-05-10
6249,2026-05-01,5,57.49,61.51,61.51,2026-05-05
6250,2026-05-01,5,68.37,73.16,73.16,2026-05-05
6251,2026-05-01,5,30.48,32.61,32.61,2026-05-05
6252,2026-05-01,5,82.56,88.34,88.34,2026-05-06
6253,2026-05-01,5,72.44,77.51,77.51,2026-05-05
6254,2026-05-01,5,147.85,158.2,158.2,2026-05-06
6255,2026-05-01,5,69.48,74.34,74.34,2026-05-05
6256,2026-05-01,5,35.62,38.11,38.11,2026-05-07
6257,2026-05-01,5,29.56,31.63,31.63,2026-05-07
6258,2026-05-01,5,72.61,77.69,77.69,2026-05-06
6259,2026-05-01,5,20.82,22.28,22.28,2026-05-05
6260,2026-05-01,5,57.44,61.46,61.46,2026-05-05
6261,2026-05-01,5,105.42,112.8,112.8,2026-05-05
6262,2026-05-01,5,68.98,73.81,73.81,2026-05-09
6263,2026-05-01,5,76.86,82.24,82.24,2026-05-05
6264,2026-05-01,5,62.0,66.34,66.34,2026-05-08
6265,2026-05-01,5,127.05,135.94,135.94,2026-05-08
6266,2026-05-01,5,21.32,22.81,22.81,2026-05-15
6267,2026-05-01,5,25.37,27.15,27.15,2026-05-08
6268,2026-05-01,5,107.58,115.11,115.11,2026-05-07
6269,2026-05-01,5,27.82,29.77,29.77,2026-05-05
6270,2026-05-01,5,28.21,30.18,30.18,2026-05-05
6271,2026-05-01,5,93.66,100.22,100.22,2026-05-06
6272,2026-05-01,5,33.13,35.45,35.45,2026-05-10
6273,2026-05-01,5,110.17,117.88,117.88,2026-05-05
6274,2026-05-01,5,53.15,56.87,56.87,2026-05-05
6275,2026-05-01,5,43.07,46.08,46.08,2026-05-05
6276,2026-05-01,5,58.45,62.54,62.54,2026-05-06
6277,2026-05-01,5,126.65,135.52,135.52,2026-05-05
6278,2026-05-01,5,22.7,24.29,24.29,2026-05-05
6279,2026-05-01,5,124.52,133.24,133.24,2026-05-05
6280,2026-05-01,5,145.05,155.2,155.2,2026-05-06
6281,2026-05-01,5,42.12,45.07,45.07,2026-05-05
6282,2026-05-01,5,67.22,71.93,71.93,2026-05-11
6283,2026-05-01,5,28.69,30.7,30.7,2026-05-05
6284,2026-05-01,5,35.28,37.75,37.75,2026-05-10
6285,2026-05-01,5,127.2,136.1,136.1,2026-05-05
6286,2026-05-01,5,21.0,22.47,22.47,2026-05-06
6287,2026-05-01,5,66.43,71.08,71.08,2026-05-07
6288,2026-05-01,5,91.58,97.99,97.99,2026-05-07
6289,2026-05-01,5,27.06,28.95,28.95,2026-05-07
6290,2026-05-01,5,138.55,148.25,148.25,2026-05-07
6291,2026-05-01,5,30.15,32.26,32.26,2026-05-05
6292,2026-05-01,5,96.91,103.69,103.69,2026-05-08
6293,2026-05-01,5,31.65,33.87,33.87,2026-05-05
6294,2026-05-01,5,61.82,66.15,66.15,2026-05-05
6295,2026-05-01,5,75.9,81.21,81.21,2026-05-06
6296,2026-05-01,5,55.94,59.86,59.86,2026-05-06
6297,2026-05-01,5,37.76,40.4,40.4,2026-05-05
6298,2026-05-01,5,78.61,84.11,84.11,2026-05-05
6299,2026-05-01,5,101.84,108.97,108.97,2026-05-07
6300,2026-05-01,5,146.1,156.33,156.33,2026-05-07
6301,2026-05-01,5,56.86,60.84,60.84,2026-05-07
6302,2026-05-01,5,65.62,70.21,70.21,2026-05-07
6303,2026-05-01,5,41.92,44.85,44.85,2026-05-07
6304,2026-05-01,5,33.38,35.72,35.72,2026-05-05
6305,2026-05-01,5,32.2,34.45,34.45,2026-05-05
6306,2026-05-01,5,140.86,150.72,150.72,2026-05-05
6307,2026-05-01,5,33.84,36.21,36.21,2026-05-05
6308,2026-05-01,5,35.83,38.34,38.34,2026-05-23
6309,2026-05-01,5,32.07,34.31,34.31,2026-05-08
6310,2026-05-01,5,149.41,159.87,159.87,2026-05-22
6311,2026-05-01,5,79.18,84.72,84.72,2026-05-09
6312,2026-05-01,5,71.29,76.28,76.28,2026-05-07
6313,2026-05-01,5,128.02,136.98,136.98,2026-05-05
6314,2026-05-01,5,74.0,79.18,79.18,2026-05-05
6315,2026-05-01,5,24.65,26.38,26.38,2026-05-07
6316,2026-05-01,5,50.97,54.54,54.54,2026-05-06
6317,2026-05-01,5,24.55,26.27,26.27,2026-05-05
6318,2026-05-01,5,28.26,30.24,30.24,2026-05-15
6319,2026-05-01,5,57.75,61.79,61.79,2026-05-10
6320,2026-05-01,5,67.57,72.3,72.3,2026-05-05
6321,2026-05-01,5,31.4,33.6,33.6,2026-05-05
6322,2026-05-01,5,41.22,44.11,44.11,2026-05-10
6323,2026-05-01,5,39.24,41.99,41.99,2026-05-05
6324,2026-05-01,5,80.19,85.8,85.8,2026-05-08
6325,2026-05-01,5,74.72,79.95,79.95,2026-05-05
6326,2026-05-01,5,77.14,82.54,82.54,2026-05-05
6327,2026-05-01,5,55.78,59.68,59.68,2026-05-08
6328,2026-05-01,5,32.33,34.59,34.59,2026-05-05
6329,2026-05-01,5,38.93,41.66,41.66,2026-05-16
6330,2026-05-01,5,43.39,46.43,46.43,2026-05-06
6331,2026-05-01,5,71.59,76.6,76.6,2026-05-05
6332,2026-05-01,5,57.08,61.08,61.08,2026-05-05
6333,2026-05-01,5,67.73,72.47,72.47,2026-05-06
6334,2026-05-01,5,101.72,108.84,108.84,2026-05-05
6335,2026-05-01,5,71.16,76.14,76.14,2026-05-13
6336,2026-05-01,5,39.47,42.23,42.23,2026-05-05
6337,2026-05-01,5,36.63,39.19,39.19,2026-05-05
6338,2026-05-01,5,31.58,33.79,33.79,2026-05-05
6339,2026-05-01,5,60.37,64.6,64.6,2026-05-08
6340,2026-05-01,5,33.85,36.22,36.22,2026-05-05
6341,2026-05-01,5,44.59,47.71,47.71,2026-05-09
6342,2026-05-01,5,94.96,101.61,101.61,2026-06-02
6343,2026-05-01,5,38.96,41.69,41.69,2026-05-05
6344,2026-05-01,5,38.0,40.66,40.66,2026-05-05
6345,2026-05-01,5,109.74,117.42,117.42,2026-05-07
6346,2026-05-01,5,59.01,63.14,63.14,2026-05-05
6347,2026-05-01,5,67.21,71.91,71.91,2026-05-05
6348,2026-05-01,5,51.76,55.38,55.38,2026-05-05
6349,2026-05-01,5,123.22,131.85,131.85,2026-05-05
6350,2026-05-01,5,104.61,111.93,111.93,2026-05-06
6351,2026-05-01,5,29.23,31.28,31.28,2026-05-07
6352,2026-05-01,5,24.83,26.57,26.57,2026-05-05
6353,2026-05-01,5,44.77,47.9,47.9,2026-05-08
6354,2026-05-01,5,39.99,42.79,42.79,2026-05-08
6355,2026-05-01,5,73.47,78.61,78.61,2026-05-05
6356,2026-05-01,5,74.16,79.35,79.35,2026-05-06
6357,2026-05-01,5,40.32,43.14,43.14,2026-05-07
6358,2026-05-01,5,41.74,44.66,44.66,2026-05-08
6359,2026-05-01,5,42.6,45.58,45.58,2026-05-14
6360,2026-05-01,5,69.5,74.37,74.37,2026-05-09
6361,2026-05-01,5,53.65,57.41,57.41,2026-05-09
6362,2026-05-01,5,58.7,62.81,62.81,2026-05-05
6363,2026-05-01,5,54.6,58.42,58.42,2026-05-06
6364,2026-05-01,5,42.9,45.9,45.9,2026-05-06
6365,2026-05-01,5,50.07,53.57,53.57,2026-05-05
6366,2026-05-01,5,33.68,36.04,36.04,2026-05-08
6367,2026-05-01,5,67.89,72.64,72.64,2026-05-05
6368,2026-05-01,5,77.7,83.14,83.14,2026-05-12
6369,2026-05-01,5,68.71,73.52,73.52,2026-05-05
6370,2026-05-01,5,43.17,46.19,46.19,2026-05-05
6371,2026-05-01,5,23.0,24.61,24.61,2026-05-05
6372,2026-05-01,5,58.04,62.1,62.1,2026-05-05
6373,2026-05-01,5,60.28,64.5,64.5,2026-05-06
6374,2026-05-01,5,27.99,29.95,29.95,2026-05-07
6375,2026-05-01,5,125.87,134.68,134.68,2026-05-06
6376,2026-05-01,5,97.11,103.91,103.91,2026-05-05
6377,2026-05-01,5,43.76,46.82,46.82,2026-05-10
6378,2026-05-01,5,100.44,107.47,107.47,2026-05-10
6379,2026-05-01,5,84.11,90.0,90.0,2026-05-05
6380,2026-05-01,5,126.34,135.18,135.18,2026-05-05
6381,2026-05-01,5,69.67,74.55,74.55,2026-05-09
6382,2026-05-01,5,31.56,33.77,33.77,2026-05-17
6383,2026-05-01,5,63.96,68.44,68.44,2026-05-05
6384,2026-05-01,5,97.48,104.3,104.3,2026-05-05
6385,2026-05-01,5,56.54,60.5,60.5,2026-05-05
6386,2026-05-01,5,94.83,101.47,101.47,2026-05-27
6387,2026-05-01,5,128.6,137.6,137.6,2026-05-05
6388,2026-05-01,5,24.32,26.02,26.02,2026-05-05
6389,2026-05-01,5,80.6,86.24,86.24,2026-05-05
6390,2026-05-01,5,54.32,58.12,58.12,2026-05-05
6391,2026-05-01,5,66.72,71.39,71.39,2026-05-05
6392,2026-05-01,5,102.75,109.94,109.94,2026-05-05
6393,2026-05-01,5,44.01,47.09,47.09,2026-05-05
6394,2026-05-01,5,69.46,74.32,74.32,2026-05-05
6395,2026-05-01,5,41.09,43.97,43.97,2026-05-07
6396,2026-05-01,5,34.95,37.4,37.4,2026-05-05
6397,2026-05-01,5,57.26,61.27,61.27,2026-05-06
6398,2026-05-01,5,66.48,71.13,71.13,2026-05-07
6399,2026-05-01,5,28.89,30.91,30.91,2026-05-06
6400,2026-05-01,5,40.36,43.19,43.19,2026-05-07
6401,2026-05-01,5,37.32,39.93,39.93,2026-05-13
6402,2026-05-01,5,43.82,46.89,46.89,2026-05-05
6403,2026-05-01,5,60.62,64.86,64.86,2026-05-05
6404,2026-05-01,5,79.68,85.26,85.26,2026-05-05
6405,2026-05-01,5,26.92,28.8,28.8,2026-05-08
6406,2026-05-01,5,34.42,36.83,36.83,2026-05-07
6407,2026-05-01,5,32.73,35.02,35.02,2026-05-05
6408,2026-05-01,5,23.65,25.31,25.31,2026-05-06
6409,2026-05-01,5,36.06,38.58,38.58,2026-05-09
6410,2026-05-01,5,95.69,102.39,102.39,2026-05-06
6411,2026-05-01,5,35.98,38.5,38.5,2026-05-10
6412,2026-05-01,5,115.53,123.62,123.62,2026-05-05
6413,2026-05-01,5,76.73,82.1,82.1,2026-05-05
6414,2026-05-01,5,25.45,27.23,27.23,2026-05-05
6415,2026-05-01,5,31.86,34.09,34.09,2026-05-09
6416,2026-05-01,5,140.78,150.63,150.63,2026-05-18
6417,2026-05-01,5,135.07,144.52,144.52,2026-05-05
6418,2026-05-01,5,79.02,84.55,84.55,2026-05-05
6419,2026-05-01,5,134.45,143.86,143.86,2026-05-05
6420,2026-05-01,5,139.13,148.87,148.87,2026-05-05
6421,2026-05-01,5,44.72,47.85,47.85,2026-06-02
6422,2026-05-01,5,77.55,82.98,82.98,2026-05-07
6423,2026-05-01,5,77.49,82.91,82.91,2026-05-06
6424,2026-05-01,5,26.3,28.14,28.14,2026-05-07
6425,2026-05-01,5,21.06,22.53,22.53,2026-05-05
6426,2026-05-01,5,56.86,60.84,60.84,2026-05-05
6427,2026-05-01,5,115.55,123.64,123.64,2026-05-05
6428,2026-05-01,5,31.03,33.2,33.2,2026-05-05
6429,2026-05-01,5,25.18,26.94,26.94,2026-05-05
6430,2026-05-01,5,90.73,97.08,97.08,2026-05-05
6431,2026-05-01,5,33.89,36.26,36.26,2026-05-06
6432,2026-05-01,5,130.69,139.84,139.84,2026-05-19
6433,2026-05-01,5,71.88,76.91,76.91,2026-05-05
6434,2026-05-01,5,32.78,35.07,35.07,2026-05-05
6435,2026-05-01,5,37.9,40.55,40.55,2026-05-05
6436,2026-05-01,5,135.7,145.2,145.2,2026-05-07
6437,2026-05-01,5,53.08,56.8,56.8,2026-05-06
6438,2026-05-01,5,41.98,44.92,44.92,2026-05-07
6439,2026-05-01,5,51.31,54.9,54.9,2026-05-06
6440,2026-05-01,5,112.31,120.17,120.17,2026-05-23
6441,2026-05-01,5,54.06,57.84,57.84,2026-05-06
6442,2026-05-01,5,40.6,43.44,43.44,2026-05-05
6443,2026-05-01,5,71.44,76.44,76.44,2026-05-06
6444,2026-05-01,5,90.93,97.3,97.3,2026-05-05
6445,2026-05-01,5,77.48,82.9,82.9,2026-05-07
6446,2026-05-01,5,58.69,62.8,62.8,2026-05-05
6447,2026-05-01,5,85.0,90.95,90.95,2026-05-07
6448,2026-05-01,5,25.93,27.75,27.75,2026-05-08
6449,2026-05-01,5,34.84,37.28,37.28,2026-05-06
6450,2026-05-01,5,23.11,24.73,24.73,2026-05-05
6451,2026-05-01,5,23.86,25.53,25.53,2026-05-08
6452,2026-05-01,5,30.37,32.5,32.5,2026-05-05
6453,2026-05-01,5,24.88,26.62,26.62,2026-05-05
6454,2026-05-01,5,136.41,145.96,145.96,2026-05-05
6455,2026-05-01,5,138.37,148.06,148.06,2026-05-06
6456,2026-05-01,5,22.03,23.57,23.57,2026-05-08
6457,2026-05-01,5,69.76,74.64,74.64,2026-05-06
6458,2026-05-01,5,34.9,37.34,37.34,2026-05-05
6459,2026-05-01,5,145.94,156.16,156.16,2026-05-05
6460,2026-05-01,5,23.34,24.97,24.97,2026-05-08
6461,2026-05-01,5,75.62,80.91,80.91,2026-06-06
6462,2026-05-01,5,78.37,83.86,83.86,2026-05-05
6463,2026-05-01,5,61.3,65.59,65.59,2026-05-05
6464,2026-05-01,5,25.21,26.97,26.97,2026-05-05
6465,2026-05-01,5,21.41,22.91,22.91,2026-05-06
6466,2026-05-01,5,35.93,38.45,38.45,2026-05-31
6467,2026-05-01,5,38.43,41.12,41.12,2026-05-05
6468,2026-05-01,5,114.08,122.07,122.07,2026-05-05
6469,2026-05-01,5,139.68,149.46,149.46,2026-05-18
6470,2026-05-01,5,64.25,68.75,68.75,2026-05-06
6471,2026-05-01,5,82.82,88.62,88.62,2026-05-05
6472,2026-05-01,5,26.49,28.34,28.34,2026-05-05
6473,2026-05-01,5,36.75,39.32,39.32,2026-05-05
6474,2026-05-01,5,36.2,38.73,38.73,2026-05-05
6475,2026-05-01,5,61.33,65.62,65.62,2026-05-06
6476,2026-05-01,5,50.32,53.84,53.84,2026-05-05
6477,2026-05-01,5,33.87,36.24,36.24,2026-05-08
6478,2026-05-01,5,114.14,122.13,122.13,2026-05-07
6479,2026-05-01,5,26.54,28.4,28.4,2026-05-06
6480,2026-05-01,5,92.37,98.84,98.84,2026-05-05
6481,2026-05-01,5,114.02,122.0,122.0,2026-05-05
6482,2026-05-01,5,95.03,101.68,101.68,2026-05-05
6483,2026-05-01,5,59.69,63.87,63.87,2026-05-05
6484,2026-05-01,5,23.47,25.11,25.11,2026-05-07
6485,2026-05-01,5,109.65,117.33,117.33,2026-05-05
6486,2026-05-01,5,23.6,25.25,25.25,2026-05-05
6487,2026-05-01,5,82.59,88.37,88.37,2026-06-01
6488,2026-05-01,5,20.32,21.74,21.74,2026-05-06
6489,2026-05-01,5,80.27,85.89,85.89,2026-06-03
6490,2026-05-01,5,23.37,25.01,25.01,2026-05-06
6491,2026-05-01,5,81.01,86.68,86.68,2026-05-05
6492,2026-05-01,5,62.81,67.21,67.21,2026-05-05
6493,2026-05-01,5,71.51,76.52,76.52,2026-05-05
6494,2026-05-01,5,82.79,88.59,88.59,2026-05-08
6495,2026-05-01,5,51.27,54.86,54.86,2026-05-13
6496,2026-05-01,5,79.56,85.13,85.13,2026-05-08
6497,2026-05-01,5,82.3,88.06,88.06,2026-05-07
6498,2026-05-01,5,35.4,37.88,37.88,2026-05-06
6499,2026-05-01,5,37.66,40.3,40.3,2026-05-06
6500,2026-05-01,5,53.01,56.72,56.72,2026-05-06
6501,2026-05-01,5,76.13,81.46,81.46,2026-05-05
6502,2026-05-01,5,112.79,120.69,120.69,2026-05-08
6503,2026-05-01,5,32.78,35.07,35.07,2026-05-07
6504,2026-05-01,5,104.24,111.54,111.54,2026-05-07
6505,2026-05-01,5,111.68,119.5,119.5,2026-05-05
6506,2026-05-01,5,118.46,126.75,126.75,2026-05-06
6507,2026-05-01,5,64.32,68.82,68.82,2026-05-05
6508,2026-05-01,5,34.57,36.99,36.99,2026-05-07
6509,2026-05-01,5,70.23,75.15,75.15,2026-05-05
6510,2026-05-01,5,40.87,43.73,43.73,2026-05-07
6511,2026-05-01,5,81.79,87.52,87.52,2026-05-06
6512,2026-05-01,5,33.19,35.51,35.51,2026-05-06
6513,2026-05-01,5,29.65,31.73,31.73,2026-05-05
6514,2026-05-01,5,121.93,130.47,130.47,2026-05-05
6515,2026-05-01,5,147.94,158.3,158.3,2026-05-05
6516,2026-05-01,5,24.36,26.07,26.07,2026-05-07
6517,2026-05-01,5,53.6,57.35,57.35,2026-05-05
6518,2026-05-01,5,60.28,64.5,64.5,2026-05-06
6519,2026-05-01,5,82.7,88.49,88.49,2026-05-07
6520,2026-05-01,5,34.59,37.01,37.01,2026-05-05
6521,2026-05-01,5,61.05,65.32,65.32,2026-05-05
6522,2026-05-01,5,44.2,47.29,47.29,2026-05-05
6523,2026-05-01,5,83.1,88.92,88.92,2026-05-09
6524,2026-05-01,5,34.31,36.71,36.71,2026-05-16
6525,2026-05-01,5,108.88,116.5,116.5,2026-05-06
6526,2026-05-01,5,33.88,36.25,36.25,2026-06-06
6527,2026-05-01,5,43.35,46.38,46.38,2026-05-09
6528,2026-05-01,5,57.24,61.25,61.25,2026-05-05
6529,2026-05-01,5,36.96,39.55,39.55,2026-05-05
6530,2026-05-01,5,97.14,103.94,103.94,2026-05-05
6531,2026-05-01,5,25.65,27.45,27.45,2026-05-05
6532,2026-05-01,5,23.14,24.76,24.76,2026-05-08
6533,2026-05-01,5,67.33,72.04,72.04,2026-05-05
6534,2026-05-01,5,107.04,114.53,114.53,2026-05-05
6535,2026-05-01,5,71.52,76.53,76.53,2026-05-14
6536,2026-05-01,5,143.57,153.62,153.62,2026-05-05
6537,2026-05-01,5,51.09,54.67,54.67,2026-05-08
6538,2026-05-01,5,60.2,64.41,64.41,2026-05-05
6539,2026-05-01,5,38.68,41.39,41.39,2026-05-05
6540,2026-05-01,5,38.18,40.85,40.85,2026-05-08
6541,2026-05-01,5,54.03,57.81,57.81,2026-06-02
6542,2026-05-01,5,71.59,76.6,76.6,2026-05-06
6543,2026-05-01,5,116.96,125.15,125.15,2026-05-18
6544,2026-05-01,5,130.69,139.84,139.84,2026-05-06
6545,2026-05-01,5,60.9,65.16,65.16,2026-05-05
6546,2026-05-01,5,121.24,129.73,129.73,2026-05-07
6547,2026-05-01,5,106.49,113.94,113.94,2026-05-05
6548,2026-05-01,5,33.68,36.04,36.04,2026-05-06
6549,2026-05-01,5,99.87,106.86,106.86,2026-05-17
6550,2026-05-01,5,75.03,80.28,80.28,2026-05-08
6551,2026-05-01,5,120.24,128.66,128.66,2026-05-05
6552,2026-05-01,5,62.21,66.56,66.56,2026-05-14
6553,2026-05-01,5,124.3,133.0,133.0,2026-05-12
6554,2026-05-01,5,56.53,60.49,60.49,2026-05-07
6555,2026-05-01,5,30.22,32.34,32.34,2026-05-22
6556,2026-05-01,5,34.77,37.2,37.2,2026-05-06
6557,2026-05-01,5,55.14,59.0,59.0,2026-05-06
6558,2026-05-01,5,144.5,154.62,154.62,2026-05-06
6559,2026-05-01,5,23.92,25.59,25.59,2026-05-07
6560,2026-05-01,5,84.04,89.92,89.92,2026-05-05
6561,2026-05-01,5,74.03,79.21,79.21,2026-05-08
6562,2026-05-01,5,26.52,28.38,28.38,2026-05-05
6563,2026-05-01,5,130.46,139.59,139.59,2026-05-11
6564,2026-05-01,5,65.45,70.03,70.03,2026-05-09
6565,2026-05-01,5,138.6,148.3,148.3,2026-05-05
6566,2026-05-01,5,41.94,44.88,44.88,2026-05-07
6567,2026-05-01,5,39.8,42.59,42.59,2026-05-12
6568,2026-05-01,5,106.11,113.54,113.54,2026-05-05
6569,2026-05-01,5,61.45,65.75,65.75,2026-05-06
6570,2026-05-01,5,72.9,78.0,78.0,2026-05-05
6571,2026-05-01,5,149.89,160.38,160.38,2026-05-07
6572,2026-05-01,5,136.11,145.64,145.64,2026-05-05
6573,2026-05-01,5,51.58,55.19,55.19,2026-05-06
6574,2026-05-01,5,37.54,40.17,40.17,2026-05-05
6575,2026-05-01,5,25.32,27.09,27.09,2026-05-05
6576,2026-05-01,5,121.48,129.98,129.98,2026-05-18
6577,2026-05-01,5,31.63,33.84,33.84,2026-05-05
6578,2026-05-01,5,43.16,46.18,46.18,2026-05-05
6579,2026-05-01,5,52.33,55.99,55.99,2026-05-05
6580,2026-05-01,5,23.27,24.9,24.9,2026-05-06
6581,2026-05-01,5,23.57,25.22,25.22,2026-05-05
