customerid,month,payment,nextmonthpayment
21290,6,87.50,87.50
21290,7,87.50,
21291,5,90.78,90.78
21291,6,90.78,90.78
21291,7,90.78,
21292,5,61.20,61.20
21292,6,61.20,61.20
21292,7,61.20,
21293,5,83.28,83.28
21293,6,83.28,83.28
21293,7,83.28,
21294,5,35.77,35.77
21294,6,35.77,35.77
21294,7,35.77,
21295,5,103.66,103.66
21295,6,103.66,103.66
21295,7,103.66,
21296,5,59.39,59.39
21296,6,59.39,59.39
21296,7,59.39,
21297,5,37.94,37.94
21297,6,37.94,37.94
21297,7,37.94,
21298,5,41.60,41.60
21298,6,41.60,41.60
21298,7,41.60,
21299,5,72.64,72.64
21299,6,72.64,72.64
21299,7,72.64,
21300,5,46.92,46.92
21300,6,46.92,46.92
21300,7,46.92,
21301,5,71.18,71.18
21301,6,71.18,71.18
21301,7,71.18,
21302,5,40.71,40.71
21302,6,40.71,40.71
21302,7,40.71,
21303,5,44.35,44.35
21303,6,44.35,44.35
21303,7,44.35,
21304,5,90.59,90.59
21304,6,90.59,90.59
21304,7,90.59,
21305,5,132.48,132.48
21305,6,132.48,132.48
21305,7,132.48,
21306,5,69.66,69.66
21306,6,69.66,69.66
21306,7,69.66,
21307,5,35.38,35.38
21307,6,35.38,35.38
21307,7,35.38,
21308,5,58.14,58.14
21308,6,58.14,58.14
21308,7,58.14,
21309,5,35.82,35.82
21309,6,35.82,35.82
21309,7,35.82,
21310,5,29.90,29.90
21310,6,29.90,29.90
21310,7,29.90,
21311,5,30.28,30.28
21311,6,30.28,30.28
21311,7,30.28,
21312,5,76.62,76.62
21312,6,76.62,76.62
21312,7,76.62,
21313,5,59.22,59.22
21313,6,59.22,59.22
21313,7,59.22,
21314,5,57.30,57.30
21314,6,57.30,57.30
21314,7,57.30,
21315,5,27.86,27.86
21315,6,27.86,27.86
21315,7,27.86,
21316,5,22.71,22.71
21316,6,22.71,22.71
21316,7,22.71,
21317,5,25.56,25.56
21317,6,25.56,25.56
21317,7,25.56,
21318,5,21.97,21.97
21318,6,21.97,21.97
21318,7,21.97,
21319,5,21.52,21.52
21319,6,21.52,21.52
21319,7,21.52,
21320,5,155.11,155.11
21320,6,155.11,155.11
21320,7,155.11,
21321,5,112.07,112.07
21321,6,112.07,112.07
21321,7,112.07,
21322,5,31.85,31.85
21322,6,31.85,31.85
21322,7,31.85,
21323,5,74.85,74.85
21323,6,74.85,74.85
21323,7,74.85,
21324,5,21.76,21.76
21324,6,21.76,21.76
21324,7,21.76,
21325,5,21.69,21.69
21325,6,21.69,21.69
21325,7,21.69,
21326,5,110.46,110.46
21326,6,110.46,110.46
21326,7,110.46,
21327,5,123.24,123.24
21327,6,123.24,123.24
21327,7,123.24,
21328,5,30.40,30.40
21328,6,30.40,30.40
21328,7,30.40,
21329,5,38.23,38.23
21329,6,38.23,38.23
21329,7,38.23,
21330,5,59.85,59.85
21330,6,59.85,59.85
21330,7,59.85,
21331,5,68.30,68.30
21331,6,68.30,68.30
21331,7,68.30,
21332,5,154.74,154.74
21332,6,154.74,154.74
21332,7,154.74,
21333,5,23.36,23.36
21333,6,23.36,23.36
21333,7,23.36,
21334,5,27.12,27.12
21334,6,27.12,27.12
21334,7,27.12,
21335,5,132.96,132.96
21335,6,132.96,132.96
21335,7,132.96,
21336,5,74.92,74.92
21336,6,74.92,74.92
21336,7,74.92,
21337,5,41.46,41.46
21337,6,41.46,41.46
21337,7,41.46,
21338,5,107.70,107.70
21338,6,107.70,107.70
21338,7,107.70,
21339,5,43.74,43.74
21339,6,43.74,43.74
21339,7,43.74,
21340,5,73.13,73.13
21340,6,73.13,73.13
21340,7,73.13,
21341,5,153.34,153.34
21341,6,153.34,153.34
21341,7,153.34,
21342,5,22.94,22.94
21342,6,22.94,22.94
21342,7,22.94,
21343,5,85.64,85.64
21343,6,85.64,85.64
21343,7,85.64,
21344,5,29.64,29.64
21344,6,29.64,29.64
21344,7,29.64,
21345,5,124.38,124.38
21345,6,124.38,124.38
21345,7,124.38,
21346,5,64.65,64.65
21346,6,64.65,64.65
21346,7,64.65,
21347,5,146.83,146.83
21347,6,146.83,146.83
21347,7,146.83,
21348,5,75.66,75.66
21348,6,75.66,75.66
21348,7,75.66,
21349,5,87.27,87.27
21349,6,87.27,87.27
21349,7,87.27,
21350,5,81.12,81.12
21350,6,81.12,81.12
21350,7,81.12,
21351,5,26.85,26.85
21351,6,26.85,26.85
21351,7,26.85,
21352,5,29.75,29.75
21352,6,29.75,29.75
21352,7,29.75,
21353,5,33.28,33.28
21353,6,33.28,33.28
21353,7,33.28,
21354,5,41.92,41.92
21354,6,41.92,41.92
21354,7,41.92,
21355,5,43.86,43.86
21355,6,43.86,43.86
21355,7,43.86,
21356,5,23.65,23.65
21356,6,23.65,23.65
21356,7,23.65,
21357,5,43.78,43.78
21357,6,43.78,43.78
21357,7,43.78,
21358,5,147.93,147.93
21358,6,147.93,147.93
21358,7,147.93,
21359,5,152.46,152.46
21359,6,152.46,152.46
21359,7,152.46,
21360,5,32.75,32.75
21360,6,32.75,32.75
21360,7,32.75,
21361,5,26.49,26.49
21361,6,26.49,26.49
21361,7,26.49,
21362,5,54.68,54.68
21362,6,54.68,54.68
21362,7,54.68,
21363,5,102.46,102.46
21363,6,102.46,102.46
21363,7,102.46,
21364,5,159.56,159.56
21364,6,159.56,159.56
21364,7,159.56,
21365,5,70.38,70.38
21365,6,70.38,70.38
21365,7,70.38,
21366,5,41.15,41.15
21366,6,41.15,41.15
21366,7,41.15,
21367,5,35.83,35.83
21367,6,35.83,35.83
21367,7,35.83,
21368,5,78.09,78.09
21368,6,78.09,78.09
21368,7,78.09,
21369,5,75.14,75.14
21369,6,75.14,75.14
21369,7,75.14,
21370,5,67.99,67.99
21370,6,67.99,67.99
21370,7,67.99,
21371,5,46.58,46.58
21371,6,46.58,46.58
21371,7,46.58,
21372,5,89.84,89.84
21372,6,89.84,89.84
21372,7,89.84,
21373,5,40.76,40.76
21373,6,40.76,40.76
21373,7,40.76,
21374,5,151.79,151.79
21374,6,151.79,151.79
21374,7,151.79,
21375,5,154.33,154.33
21375,6,154.33,154.33
21375,7,154.33,
21376,5,40.47,40.47
21376,6,40.47,40.47
21376,7,40.47,
21377,5,75.19,75.19
21377,6,75.19,75.19
21377,7,75.19,
21378,5,78.14,78.14
21378,6,78.14,78.14
21378,7,78.14,
21379,5,42.97,42.97
21379,6,42.97,42.97
21379,7,42.97,
21380,5,63.56,63.56
21380,6,63.56,63.56
21380,7,63.56,
21381,5,81.47,81.47
21381,6,81.47,81.47
21381,7,81.47,
21382,5,64.11,64.11
21382,6,64.11,64.11
21382,7,64.11,
21383,5,76.86,76.86
21383,6,76.86,76.86
21383,7,76.86,
21384,5,81.51,81.51
21384,6,81.51,81.51
21384,7,81.51,
21385,5,82.40,82.40
21385,6,82.40,82.40
21385,7,82.40,
21386,5,36.12,36.12
21386,6,36.12,36.12
21386,7,36.12,
21387,5,44.54,44.54
21387,6,44.54,44.54
21387,7,44.54,
21388,5,46.92,46.92
21388,6,46.92,46.92
21388,7,46.92,
21389,5,106.18,106.18
21389,6,106.18,106.18
21389,7,106.18,
21390,5,24.94,24.94
21390,6,24.94,24.94
21390,7,24.94,
21391,5,37.73,37.73
21391,6,37.73,37.73
21391,7,37.73,
21392,5,44.06,44.06
21392,6,44.06,44.06
21392,7,44.06,
21393,5,36.24,36.24
21393,6,36.24,36.24
21393,7,36.24,
21394,5,155.78,155.78
21394,6,155.78,155.78
21394,7,155.78,
21395,5,81.53,81.53
21395,6,81.53,81.53
21395,7,81.53,
21396,5,44.24,44.24
21396,6,44.24,44.24
21396,7,44.24,
21397,5,25.28,25.28
21397,6,25.28,25.28
21397,7,25.28,
21398,5,28.96,28.96
21398,6,28.96,28.96
21398,7,28.96,
21399,5,120.17,120.17
21399,6,120.17,120.17
21399,7,120.17,
21400,5,139.87,139.87
21400,6,139.87,139.87
21400,7,139.87,
21401,5,44.09,44.09
21401,6,44.09,44.09
21401,7,44.09,
21402,5,123.94,123.94
21402,6,123.94,123.94
21402,7,123.94,
21403,5,70.23,70.23
21403,6,70.23,70.23
21403,7,70.23,
21404,5,39.71,39.71
21404,6,39.71,39.71
21404,7,39.71,
21405,5,24.68,24.68
21405,6,24.68,24.68
21405,7,24.68,
21406,5,132.08,132.08
21406,6,132.08,132.08
21406,7,132.08,
21407,5,113.70,113.70
21407,6,113.70,113.70
21407,7,113.70,
21408,5,41.82,41.82
21408,6,41.82,41.82
21408,7,41.82,
21409,5,43.44,43.44
21409,6,43.44,43.44
21409,7,43.44,
21410,5,22.90,22.90
21410,6,22.90,22.90
21410,7,22.90,
21411,5,33.44,33.44
21411,6,33.44,33.44
21411,7,33.44,
21412,5,85.73,85.73
21412,6,85.73,85.73
21412,7,85.73,
21413,5,125.10,125.10
21413,6,125.10,125.10
21413,7,125.10,
21414,5,33.67,33.67
21414,6,33.67,33.67
21414,7,33.67,
21415,5,22.78,22.78
21415,6,22.78,22.78
21415,7,22.78,
21416,5,136.19,136.19
21416,6,136.19,136.19
21416,7,136.19,
21417,5,113.15,113.15
21417,6,113.15,113.15
21417,7,113.15,
21418,5,113.66,113.66
21418,6,113.66,113.66
21418,7,113.66,
21419,5,114.10,114.10
21419,6,114.10,114.10
21419,7,114.10,
21420,5,36.94,36.94
21420,6,36.94,36.94
21420,7,36.94,
21421,5,141.40,141.40
21421,6,141.40,141.40
21421,7,141.40,
21422,5,72.10,72.10
21422,6,72.10,72.10
21422,7,72.10,
21423,5,24.03,24.03
21423,6,24.03,24.03
21423,7,24.03,
21424,5,24.42,24.42
21424,6,24.42,24.42
21424,7,24.42,
21425,5,35.55,35.55
21425,6,35.55,35.55
21425,7,35.55,
21426,5,151.87,151.87
21426,6,151.87,151.87
21426,7,151.87,
21427,5,78.28,78.28
21427,6,78.28,78.28
21427,7,78.28,
21428,5,136.67,136.67
21428,6,136.67,136.67
21428,7,136.67,
21429,5,27.47,27.47
21429,6,27.47,27.47
21429,7,27.47,
21430,5,144.89,144.89
21430,6,144.89,144.89
21430,7,144.89,
21431,5,143.50,143.50
21431,6,143.50,143.50
21431,7,143.50,
21432,5,33.34,33.34
21432,6,33.34,33.34
21432,7,33.34,
21433,5,76.44,76.44
21433,6,76.44,76.44
21433,7,76.44,
21434,5,85.64,85.64
21434,6,85.64,85.64
21434,7,85.64,
21435,5,41.09,41.09
21435,6,41.09,41.09
21435,7,41.09,
21436,5,35.57,35.57
21436,6,35.57,35.57
21436,7,35.57,
21437,5,84.89,84.89
21437,6,84.89,84.89
21437,7,84.89,
21438,5,147.87,147.87
21438,6,147.87,147.87
21438,7,147.87,
21439,5,42.17,42.17
21439,6,42.17,42.17
21439,7,42.17,
21440,5,132.48,132.48
21440,6,132.48,132.48
21440,7,132.48,
21441,5,44.12,44.12
21441,6,44.12,44.12
21441,7,44.12,
21442,5,79.03,79.03
21442,6,79.03,79.03
21442,7,79.03,
21443,5,146.39,146.39
21443,6,146.39,146.39
21443,7,146.39,
21444,5,148.79,148.79
21444,6,148.79,148.79
21444,7,148.79,
21445,5,90.73,90.73
21445,6,90.73,90.73
21445,7,90.73,
21446,5,23.41,23.41
21446,6,23.41,23.41
21446,7,23.41,
21447,5,131.49,131.49
21447,6,131.49,131.49
21447,7,131.49,
21448,5,158.87,158.87
21448,6,158.87,158.87
21448,7,158.87,
21449,5,46.49,46.49
21449,6,46.49,46.49
21449,7,46.49,
21450,5,44.43,44.43
21450,6,44.43,44.43
21450,7,44.43,
21451,5,55.00,55.00
21451,6,55.00,55.00
21451,7,55.00,
21452,5,23.66,23.66
21452,6,23.66,23.66
21452,7,23.66,
21453,5,24.86,24.86
21453,6,24.86,24.86
21453,7,24.86,
21454,5,42.06,42.06
21454,6,42.06,42.06
21454,7,42.06,
21455,5,77.45,77.45
21455,6,77.45,77.45
21455,7,77.45,
21456,5,44.06,44.06
21456,6,44.06,44.06
21456,7,44.06,
21457,5,77.87,77.87
21457,6,77.87,77.87
21457,7,77.87,
21458,5,87.27,87.27
21458,6,87.27,87.27
21458,7,87.27,
21459,5,45.37,45.37
21459,6,45.37,45.37
21459,7,45.37,
21460,5,57.96,57.96
21460,6,57.96,57.96
21460,7,57.96,
21461,5,54.36,54.36
21461,6,54.36,54.36
21461,7,54.36,
21462,5,33.58,33.58
21462,6,33.58,33.58
21462,7,33.58,
21463,5,47.76,47.76
21463,6,47.76,47.76
21463,7,47.76,
21464,5,62.33,62.33
21464,6,62.33,62.33
21464,7,62.33,
21465,5,140.63,140.63
21465,6,140.63,140.63
21465,7,140.63,
21466,5,54.60,54.60
21466,6,54.60,54.60
21466,7,54.60,
21467,5,69.55,69.55
21467,6,69.55,69.55
21467,7,69.55,
21468,5,82.97,82.97
21468,6,82.97,82.97
21468,7,82.97,
21469,5,32.56,32.56
21469,6,32.56,32.56
21469,7,32.56,
21470,5,63.75,63.75
21470,6,63.75,63.75
21470,7,63.75,
21471,5,36.55,36.55
21471,6,36.55,36.55
21471,7,36.55,
21472,5,24.55,24.55
21472,6,24.55,24.55
21472,7,24.55,
21473,5,31.32,31.32
21473,6,31.32,31.32
21473,7,31.32,
21474,5,48.10,48.10
21474,6,48.10,48.10
21474,7,48.10,
21475,5,146.25,146.25
21475,6,146.25,146.25
21475,7,146.25,
21476,5,97.19,97.19
21476,6,97.19,97.19
21476,7,97.19,
21477,5,122.70,122.70
21477,6,122.70,122.70
21477,7,122.70,
21478,5,65.23,65.23
21478,6,65.23,65.23
21478,7,65.23,
21479,5,60.48,60.48
21479,6,60.48,60.48
21479,7,60.48,
21480,5,38.34,38.34
21480,6,38.34,38.34
21480,7,38.34,
21481,5,90.31,90.31
21481,6,90.31,90.31
21481,7,90.31,
21482,5,42.58,42.58
21482,6,42.58,42.58
21482,7,42.58,
21483,5,70.65,70.65
21483,6,70.65,70.65
21483,7,70.65,
21484,5,63.52,63.52
21484,6,63.52,63.52
21484,7,63.52,
21485,5,157.80,157.80
21485,6,157.80,157.80
21485,7,157.80,
21486,5,32.57,32.57
21486,6,32.57,32.57
21486,7,32.57,
21487,5,47.97,47.97
21487,6,47.97,47.97
21487,7,47.97,
21488,5,44.81,44.81
21488,6,44.81,44.81
21488,7,44.81,
21489,5,58.83,58.83
21489,6,58.83,58.83
21489,7,58.83,
21490,5,54.64,54.64
21490,6,54.64,54.64
21490,7,54.64,
21491,5,37.01,37.01
21491,6,37.01,37.01
21491,7,37.01,
21492,5,71.18,71.18
21492,6,71.18,71.18
21492,7,71.18,
21493,5,47.88,47.88
21493,6,47.88,47.88
21493,7,47.88,
21494,5,34.07,34.07
21494,6,34.07,34.07
21494,7,34.07,
21495,5,70.40,70.40
21495,6,70.40,70.40
21495,7,70.40,
21496,5,43.88,43.88
21496,6,43.88,43.88
21496,7,43.88,
21497,5,86.37,86.37
21497,6,86.37,86.37
21497,7,86.37,
21498,5,81.84,81.84
21498,6,81.84,81.84
21498,7,81.84,
21499,5,34.70,34.70
21499,6,34.70,34.70
21499,7,34.70,
21500,5,133.22,133.22
21500,6,133.22,133.22
21500,7,133.22,
21501,5,66.21,66.21
21501,6,66.21,66.21
21501,7,66.21,
21502,5,58.76,58.76
21502,6,58.76,58.76
21502,7,58.76,
21503,5,36.80,36.80
21503,6,36.80,36.80
21503,7,36.80,
21504,5,68.52,68.52
21504,6,68.52,68.52
21504,7,68.52,
21505,5,39.27,39.27
21505,6,39.27,39.27
21505,7,39.27,
21506,5,39.49,39.49
21506,6,39.49,39.49
21506,7,39.49,
21507,5,73.90,73.90
21507,6,73.90,73.90
21507,7,73.90,
21508,5,33.05,33.05
21508,6,33.05,33.05
21508,7,33.05,
21509,5,46.86,46.86
21509,6,46.86,46.86
21509,7,46.86,
21510,5,122.76,122.76
21510,6,122.76,122.76
21510,7,122.76,
21511,5,114.67,114.67
21511,6,114.67,114.67
21511,7,114.67,
21512,5,56.70,56.70
21512,6,56.70,56.70
21512,7,56.70,
21513,5,59.15,59.15
21513,6,59.15,59.15
21513,7,59.15,
21514,5,26.26,26.26
21514,6,26.26,26.26
21514,7,26.26,
21515,5,120.26,120.26
21515,6,120.26,120.26
21515,7,120.26,
21516,5,43.89,43.89
21516,6,43.89,43.89
21516,7,43.89,
21517,5,72.75,72.75
21517,6,72.75,72.75
21517,7,72.75,
21518,5,58.43,58.43
21518,6,58.43,58.43
21518,7,58.43,
21519,5,57.83,57.83
21519,6,57.83,57.83
21519,7,57.83,
21520,5,66.81,66.81
21520,6,66.81,66.81
21520,7,66.81,
21521,5,35.93,35.93
21521,6,35.93,35.93
21521,7,35.93,
21522,5,33.22,33.22
21522,6,33.22,33.22
21522,7,33.22,
21523,5,100.98,100.98
21523,6,100.98,100.98
21523,7,100.98,
21524,5,23.20,23.20
21524,6,23.20,23.20
21524,7,23.20,
21525,5,40.03,40.03
21525,6,40.03,40.03
21525,7,40.03,
21526,5,73.01,73.01
21526,6,73.01,73.01
21526,7,73.01,
21527,5,76.18,76.18
21527,6,76.18,76.18
21527,7,76.18,
21528,5,42.68,42.68
21528,6,42.68,42.68
21528,7,42.68,
21529,5,30.52,30.52
21529,6,30.52,30.52
21529,7,30.52,
21530,5,155.28,155.28
21530,6,155.28,155.28
21530,7,155.28,
21531,5,89.98,89.98
21531,6,89.98,89.98
21531,7,89.98,
21532,5,59.03,59.03
21532,6,59.03,59.03
21532,7,59.03,
21533,5,89.66,89.66
21533,6,89.66,89.66
21533,7,89.66,
21534,5,32.44,32.44
21534,6,32.44,32.44
21534,7,32.44,
21535,5,133.01,133.01
21535,6,133.01,133.01
21535,7,133.01,
21536,5,135.70,135.70
21536,6,135.70,135.70
21536,7,135.70,
21537,5,113.15,113.15
21537,6,113.15,113.15
21537,7,113.15,
21538,5,110.54,110.54
21538,6,110.54,110.54
21538,7,110.54,
21539,5,89.89,89.89
21539,6,89.89,89.89
21539,7,89.89,
21540,5,124.58,124.58
21540,6,124.58,124.58
21540,7,124.58,
21541,5,36.53,36.53
21541,6,36.53,36.53
21541,7,36.53,
21542,5,29.24,29.24
21542,6,29.24,29.24
21542,7,29.24,
21543,5,46.56,46.56
21543,6,46.56,46.56
21543,7,46.56,
21544,5,72.33,72.33
21544,6,72.33,72.33
21544,7,72.33,
21545,5,28.36,28.36
21545,6,28.36,28.36
21545,7,28.36,
21546,5,153.80,153.80
21546,6,153.80,153.80
21546,7,153.80,
21547,5,84.46,84.46
21547,6,84.46,84.46
21547,7,84.46,
21548,5,37.13,37.13
21548,6,37.13,37.13
21548,7,37.13,
21549,5,47.82,47.82
21549,6,47.82,47.82
21549,7,47.82,
21550,5,65.26,65.26
21550,6,65.26,65.26
21550,7,65.26,
21551,5,71.93,71.93
21551,6,71.93,71.93
21551,7,71.93,
21552,5,32.29,32.29
21552,6,32.29,32.29
21552,7,32.29,
21553,5,37.66,37.66
21553,6,37.66,37.66
21553,7,37.66,
21554,5,159.18,159.18
21554,6,159.18,159.18
21554,7,159.18,
21555,5,79.94,79.94
21555,6,79.94,79.94
21555,7,79.94,
21556,5,70.27,70.27
21556,6,70.27,70.27
21556,7,70.27,
21557,5,41.09,41.09
21557,6,41.09,41.09
21557,7,41.09,
21558,5,25.49,25.49
21558,6,25.49,25.49
21558,7,25.49,
21559,5,58.68,58.68
21559,6,58.68,58.68
21559,7,58.68,
21560,5,141.97,141.97
21560,6,141.97,141.97
21560,7,141.97,
21561,5,25.02,25.02
21561,6,25.02,25.02
21561,7,25.02,
21562,5,80.90,80.90
21562,6,80.90,80.90
21562,7,80.90,
21563,5,31.12,31.12
21563,6,31.12,31.12
21563,7,31.12,
21564,5,68.17,68.17
21564,6,68.17,68.17
21564,7,68.17,
21565,5,87.09,87.09
21565,6,87.09,87.09
21565,7,87.09,
21566,5,42.94,42.94
21566,6,42.94,42.94
21566,7,42.94,
21567,5,76.04,76.04
21567,6,76.04,76.04
21567,7,76.04,
21568,5,27.65,27.65
21568,6,27.65,27.65
21568,7,27.65,
21569,5,28.21,28.21
21569,6,28.21,28.21
21569,7,28.21,
21570,5,121.98,121.98
21570,6,121.98,121.98
21570,7,121.98,
21571,5,31.12,31.12
21571,6,31.12,31.12
21571,7,31.12,
21572,5,57.84,57.84
21572,6,57.84,57.84
21572,7,57.84,
21573,5,66.77,66.77
21573,6,66.77,66.77
21573,7,66.77,
21574,5,84.18,84.18
21574,6,84.18,84.18
21574,7,84.18,
21575,5,46.83,46.83
21575,6,46.83,46.83
21575,7,46.83,
21576,5,84.00,84.00
21576,6,84.00,84.00
21576,7,84.00,
21577,5,44.43,44.43
21577,6,44.43,44.43
21577,7,44.43,
21578,5,27.54,27.54
21578,6,27.54,27.54
21578,7,27.54,
21579,5,37.55,37.55
21579,6,37.55,37.55
21579,7,37.55,
21580,5,78.50,78.50
21580,6,78.50,78.50
21580,7,78.50,
21581,5,23.28,23.28
21581,6,23.28,23.28
21581,7,23.28,
21582,5,82.82,82.82
21582,6,82.82,82.82
21582,7,82.82,
21583,5,41.17,41.17
21583,6,41.17,41.17
21583,7,41.17,
21584,5,47.05,47.05
21584,6,47.05,47.05
21584,7,47.05,
21585,5,33.45,33.45
21585,6,33.45,33.45
21585,7,33.45,
21586,5,31.94,31.94
21586,6,31.94,31.94
21586,7,31.94,
21587,5,82.09,82.09
21587,6,82.09,82.09
21587,7,82.09,
21588,5,75.33,75.33
21588,6,75.33,75.33
21588,7,75.33,
21589,5,69.87,69.87
21589,6,69.87,69.87
21589,7,69.87,
21590,5,46.07,46.07
21590,6,46.07,46.07
21590,7,46.07,
21591,5,81.82,81.82
21591,6,81.82,81.82
21591,7,81.82,
21592,5,68.48,68.48
21592,6,68.48,68.48
21592,7,68.48,
21593,5,33.68,33.68
21593,6,33.68,33.68
21593,7,33.68,
21594,5,136.30,136.30
21594,6,136.30,136.30
21594,7,136.30,
21595,5,74.96,74.96
21595,6,74.96,74.96
21595,7,74.96,
21596,5,55.32,55.32
21596,6,55.32,55.32
21596,7,55.32,
21597,5,122.18,122.18
21597,6,122.18,122.18
21597,7,122.18,
21598,5,84.07,84.07
21598,6,84.07,84.07
21598,7,84.07,
21599,5,37.50,37.50
21599,6,37.50,37.50
21599,7,37.50,
21600,5,87.48,87.48
21600,6,87.48,87.48
21600,7,87.48,
21601,5,84.44,84.44
21601,6,84.44,84.44
21601,7,84.44,
21602,5,25.47,25.47
21602,6,25.47,25.47
21602,7,25.47,
21603,5,44.05,44.05
21603,6,44.05,44.05
21603,7,44.05,
21604,5,130.39,130.39
21604,6,130.39,130.39
21604,7,130.39,
21605,5,75.75,75.75
21605,6,75.75,75.75
21605,7,75.75,
21606,5,77.96,77.96
21606,6,77.96,77.96
21606,7,77.96,
21607,5,54.70,54.70
21607,6,54.70,54.70
21607,7,54.70,
21608,5,21.85,21.85
21608,6,21.85,21.85
21608,7,21.85,
21609,5,39.50,39.50
21609,6,39.50,39.50
21609,7,39.50,
21610,5,26.82,26.82
21610,6,26.82,26.82
21610,7,26.82,
21611,5,143.98,143.98
21611,6,143.98,143.98
21611,7,143.98,
21612,5,54.77,54.77
21612,6,54.77,54.77
21612,7,54.77,
21613,5,44.30,44.30
21613,6,44.30,44.30
21613,7,44.30,
21614,5,32.96,32.96
21614,6,32.96,32.96
21614,7,32.96,
21615,5,71.72,71.72
21615,6,71.72,71.72
21615,7,71.72,
21616,5,32.57,32.57
21616,6,32.57,32.57
21616,7,32.57,
21617,5,111.18,111.18
21617,6,111.18,111.18
21617,7,111.18,
21618,5,35.75,35.75
21618,6,35.75,35.75
21618,7,35.75,
21619,5,64.54,64.54
21619,6,64.54,64.54
21619,7,64.54,
21620,5,57.99,57.99
21620,6,57.99,57.99
21620,7,57.99,
21621,5,64.46,64.46
21621,6,64.46,64.46
21621,7,64.46,
21622,5,137.85,137.85
21622,6,137.85,137.85
21622,7,137.85,
21623,5,42.69,42.69
21623,6,42.69,42.69
21623,7,42.69,
21624,5,72.14,72.14
21624,6,72.14,72.14
21624,7,72.14,
21625,5,34.25,34.25
21625,6,34.25,34.25
21625,7,34.25,
21626,5,28.25,28.25
21626,6,28.25,28.25
21626,7,28.25,
21627,5,23.75,23.75
21627,6,23.75,23.75
21627,7,23.75,
21628,5,28.90,28.90
21628,6,28.90,28.90
21628,7,28.90,
21629,5,22.40,22.40
21629,6,22.40,22.40
21629,7,22.40,
21630,5,35.17,35.17
21630,6,35.17,35.17
21630,7,35.17,
21631,5,24.10,24.10
21631,6,24.10,24.10
21631,7,24.10,
21632,5,57.78,57.78
21632,6,57.78,57.78
21632,7,57.78,
21633,5,111.76,111.76
21633,6,111.76,111.76
21633,7,111.76,
21634,5,85.85,85.85
21634,6,85.85,85.85
21634,7,85.85,
21635,5,43.30,43.30
21635,6,43.30,43.30
21635,7,43.30,
21636,5,124.02,124.02
21636,6,124.02,124.02
21636,7,124.02,
21637,5,23.84,23.84
21637,6,23.84,23.84
21637,7,23.84,
21638,5,46.10,46.10
21638,6,46.10,46.10
21638,7,46.10,
21639,5,147.83,147.83
21639,6,147.83,147.83
21639,7,147.83,
21640,5,76.72,76.72
21640,6,76.72,76.72
21640,7,76.72,
21641,5,78.63,78.63
21641,6,78.63,78.63
21641,7,78.63,
21642,5,54.36,54.36
21642,6,54.36,54.36
21642,7,54.36,
21643,5,83.35,83.35
21643,6,83.35,83.35
21643,7,83.35,
21644,5,23.18,23.18
21644,6,23.18,23.18
21644,7,23.18,
21645,5,43.54,43.54
21645,6,43.54,43.54
21645,7,43.54,
21646,5,33.64,33.64
21646,6,33.64,33.64
21646,7,33.64,
21647,5,58.71,58.71
21647,6,58.71,58.71
21647,7,58.71,
21648,5,78.91,78.91
21648,6,78.91,78.91
21648,7,78.91,
21649,5,64.95,64.95
21649,6,64.95,64.95
21649,7,64.95,
21650,5,47.86,47.86
21650,6,47.86,47.86
21650,7,47.86,
21651,5,55.17,55.17
21651,6,55.17,55.17
21651,7,55.17,
21652,5,34.28,34.28
21652,6,34.28,34.28
21652,7,34.28,
21653,5,29.89,29.89
21653,6,29.89,29.89
21653,7,29.89,
21654,5,26.86,26.86
21654,6,26.86,26.86
21654,7,26.86,
21655,5,63.53,63.53
21655,6,63.53,63.53
21655,7,63.53,
21656,5,23.27,23.27
21656,6,23.27,23.27
21656,7,23.27,
21657,5,41.14,41.14
21657,6,41.14,41.14
21657,7,41.14,
21658,5,42.12,42.12
21658,6,42.12,42.12
21658,7,42.12,
21659,5,86.58,86.58
21659,6,86.58,86.58
21659,7,86.58,
21660,5,26.74,26.74
21660,6,26.74,26.74
21660,7,26.74,
21661,5,44.07,44.07
21661,6,44.07,44.07
21661,7,44.07,
21662,5,74.93,74.93
21662,6,74.93,74.93
21662,7,74.93,
21663,5,100.70,100.70
21663,6,100.70,100.70
21663,7,100.70,
21664,5,36.34,36.34
21664,6,36.34,36.34
21664,7,36.34,
21665,5,22.30,22.30
21665,6,22.30,22.30
21665,7,22.30,
21666,5,36.23,36.23
21666,6,36.23,36.23
21666,7,36.23,
21667,5,82.15,82.15
21667,6,82.15,82.15
21667,7,82.15,
21668,5,117.89,117.89
21668,6,117.89,117.89
21668,7,117.89,
21669,5,57.81,57.81
21669,6,57.81,57.81
21669,7,57.81,
21670,5,37.62,37.62
21670,6,37.62,37.62
21670,7,37.62,
21671,5,29.08,29.08
21671,6,29.08,29.08
21671,7,29.08,
21672,5,56.03,56.03
21672,6,56.03,56.03
21672,7,56.03,
21673,5,85.85,85.85
21673,6,85.85,85.85
21673,7,85.85,
21674,5,140.49,140.49
21674,6,140.49,140.49
21674,7,140.49,
21675,5,88.71,88.71
21675,6,88.71,88.71
21675,7,88.71,
21676,5,64.17,64.17
21676,6,64.17,64.17
21676,7,64.17,
21677,5,82.25,82.25
21677,6,82.25,82.25
21677,7,82.25,
21678,5,21.49,21.49
21678,6,21.49,21.49
